filename	type	venueID	venueShortname	venue	year	publisher	address
sen-datamine08.json	article	datamine		Data Mining and Knowledge Discovery	2008	Springer-Verlag	
lansky-plra94.json	conference	plra		AAAI Fall Symposium on Planning and Learning: On to Real Applications	1994	AAAI	New Orleans, LA, USA
bhattacharya-aaai07.json	conference	aaai	AAAI	AAAI Conference on Artificial Intelligence	2007	AAAI	Vancouver, BC, Canada
bilgic-aaai10.json	conference	aaai	AAAI	AAAI Conference on Artificial Intelligence	2010	AAAI	Atlanta, GA, USA
lansky-ipa95.json	conference	ipa		AAAI Spring Symposium on Integrated Planning Applications	1995	AAAI	Palo Alto, CA, USA
chajewska-imidts98.json	conference	imidts		AAAI Spring Symposium on Interactive and Mixed Initiative Decision-Theoretic Systems	1998	AAAI	Palo Alto, CA, USA
farnadi-delbp18.json	conference	delbp	DeLBP	AAAI Workshop on Declarative Learning Based Programming	2018	AAAI	New Orleans, LA, USA
getoor-lsmrd00.json	conference	lsmrd	LSMRD	AAAI Workshop on Learning Statistical Models from Relational Data	2000	AAAI	Austin, TX, USA
getoor-osl97.json	conference	osl		AAAI Workshop on Online Search	1997	AAAI	Providence, RI, USA
pujara-s4bd13.json	conference	s4bd		AAAI Workshop on Semantics for Big Data	2013	AAAI	Arlington, VA, USA
farnadi-starai14.json	conference	starai	StarAI	International Workshop on Statistical Relational AI	2014	AAAI	Québec City, QC, Canada
embar-starai20.json	conference	starai	StarAI	International Workshop on Statistical Relational AI	2020	AAAI	New York, NY, USA
sridhar-sdpasm14.json	conference	sdpasm		ACL Joint Workshop on Social Dynamics and Personal Attributes in Social Media	2014	ACL	Baltimore, MD, USA
somasundaran-textgraphs09.json	conference	textgraphs	TextGraphs	ACL Workshop on Graph-based Methods for Natural Language Processing	2009	ACL	Singapore
ramesh-bea14.json	conference	bea	BEA	ACL Workshop on Innovative Use of NLP for Building Educational Applications	2014	ACL	Baltimore, MD, USA
ramesh-lats14.json	conference	lats	L@S	ACM Conference on Learning at Scale	2014	ACM	Atlanta, GA, USA
hung-tocl07.json	article	tocl	TOCL	ACM Transactions on Computational Logic	2007	ACM	
zheleva-tois08.json	article	tois	TOIS	ACM Transactions on Information Systems	2008	ACM	
skaggs-tois14.json	article	tois	TOIS	ACM Transactions on Information Systems	2014	ACM	
bhattacharya-tkdd07.json	article	tkdd	TKDD	ACM Transactions on Knowledge Discovery from Data	2007	ACM	
bilgic-tkdd09.json	article	tkdd	TKDD	ACM Transactions on Knowledge Discovery from Data	2009	ACM	
namata-tkdd15.json	article	tkdd	TKDD	ACM Transactions on Knowledge Discovery from Data	2015	ACM	
getoor-inbook05.json	inbook	inbook		Advanced Methods for Knowledge Discovery from Complex Data	2005	Springer-Verlag	
broecheler-nips10.json	conference	nips	NeurIPS	Conference on Neural Information Processing Systems	2010	NIPS	Vancouver, BC, Canada
sen-aim08.json	article	aim		AI Magazine	2008	AAAI	
pujara-aim15.json	article	aim		AI Magazine	2015	AAAI	
muthiah-aim16.json	article	aim		AI Magazine	2016	AAAI	
embar-fkb19.json	conference	fkb		AKBC Workshop on Federated Knowledge Bases	2019	AKBC	Amherst, MA, USA
getoor-inbook07.json	inbook	inbook		An Introduction to Statistical Relational Learning	2007	MIT Press	
koller-inbook07.json	inbook	inbook		An Introduction to Statistical Relational Learning	2007	MIT Press	
bhattacharya-acl04.json	conference	acl	ACL	Annual Meeting of the Association for Computational Linguistics	2004	ACL	Barcelona, Spain
ramesh-acl15.json	conference	acl	ACL	Annual Meeting of the Association for Computational Linguistics	2015	ACL	Beijing, China
sridhar-acl15.json	conference	acl	ACL	Annual Meeting of the Association for Computational Linguistics	2015	ACL	Beijing, China
elsayed-acl08.json	conference	acl	ACL	Annual Meeting of the Association for Computational Linguistics	2008	ACL	Prague, Czech Republic
bach-aistats15.json	conference	aistats	AISTATS	International Conference on Artificial Intelligence and Statistics	2015	PMLR	San Diego, CA, USA
getoor-aimj04.json	article	aimj		Artificial Intelligence in Medicine	2004	Elsevier	
farnadi-aies18.json	conference	aies	AIES	AAAI/ACM Conference on AI, Ethics, and Society	2018	ACM	New Orleans, LA, USA
